Type;MaturityYears;Rate;DayCount;FixedFreq
DEPOSIT;0,25;0,0199;ACT/360;0
DEPOSIT;0,5;0,0199;ACT/360;0
DEPOSIT;0,75;0,02;ACT/360;0
DEPOSIT;1;0,0201;ACT/360;0
SWAP;2;0,0208;30/360;1
SWAP;3;0,0221;30/360;1
SWAP;4;0,0237;30/360;1
SWAP;5;0,0253;30/360;1
SWAP;7;0,0285;30/360;1
SWAP;10;0,0323;30/360;1
SWAP;15;0,0366;30/360;1
SWAP;20;0,0388;30/360;1
SWAP;30;0,0392;30/360;1
OAT;3;0,0221;ACT/360;0
OAT;5;0,0253;ACT/360;0
OAT;10;0,0323;ACT/360;0
OAT;15;0,0366;ACT/360;0
OAT;20;0,0388;ACT/360;0
OAT;30;0,0392;ACT/360;0
